
Custo: 1966797 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1966794 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1966702 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1966631 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1966417 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1966335 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1966154 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1965978 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1965818 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1965778 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1965662 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1965645 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.85
Custo: 1965582 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1965522 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1965514 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1965354 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1965126 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1964759 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1964646 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1964305 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1964051 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1964039 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1963937 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1963920 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1963395 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1963389 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1963325 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1963221 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1963097 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1963092 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1962979 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1962775 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1962728 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1962565 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1962564 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1962497 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1962231 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1962218 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1962204 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1962093 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1962060 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
Custo: 1962001 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.86
